what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1323282375851
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1323282375992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1323282376153
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1323282376508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282465087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282465221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282466695
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1323282472121
started,bundle,org.eclipse.wst.jsdt.ui,1.1.101.v201108151912,"org.eclipse.wst.jsdt.ui",1323282472689
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282473484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282484325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282489302
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323282489313
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323282500734
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323282500902
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323282500946
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323282504145
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323282519290
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323282521715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282521945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282523756
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1323282523762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323282528124
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1323282533120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282611320
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323282629811
