what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1320122591262
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1320122591262
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1320122591262
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1320122591262
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1320122591262
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1320122591262
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1320122591262
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1320122591262
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1320122591262
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1320122591262
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1320122591262
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1320122591262
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1320122591262
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1320122591262
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1320122591262
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1320122591262
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1320122591262
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1320122591262
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1320122591262
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1320122591262
started,bundle,org.eclipse.jdt.launching,3.6.1.v20110803_r371,"org.eclipse.jdt.launching",1320122591262
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1320122591262
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1320122591262
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1320122591262
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1320122591262
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1320122591262
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1320122591262
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1320122591262
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1320122591262
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1320122591262
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1320122591262
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1320122591262
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1320122591262
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1320122591262
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1320122591262
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1320122591262
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1320122591262
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1320122591262
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1320122591262
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1320122591262
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1320122591262
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1320122591262
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1320122591262
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1320122591262
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1320122591262
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1320122591262
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1320122591262
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1320122591262
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1320122591262
started,bundle,org.eclipse.wb.core,1.1.0.r37x201109091012,"org.eclipse.wb.core",1320122591262
started,bundle,org.eclipse.wb.core.lib,1.1.0.r37x201109091012,"org.eclipse.wb.core.lib",1320122591262
started,bundle,com.google.appengine.eclipse.core,2.4.1.r37v201109211906,"com.google.appengine.eclipse.core",1320122591262
started,bundle,com.google.gdt.eclipse.appengine.rpc,2.4.1.r37v201109211906,"com.google.gdt.eclipse.appengine.rpc",1320122591262
started,bundle,com.google.gdt.eclipse.core,2.4.1.r37v201109211906,"com.google.gdt.eclipse.core",1320122591262
started,bundle,com.google.gdt.eclipse.designer,2.4.0.r37x201108271303,"com.google.gdt.eclipse.designer",1320122591262
started,bundle,com.google.gdt.eclipse.login,2.4.1.r37v201109211906,"com.google.gdt.eclipse.login",1320122591262
started,bundle,com.google.gdt.eclipse.managedapis,2.4.1.r37v201109211906,"com.google.gdt.eclipse.managedapis",1320122591262
started,bundle,com.google.gdt.eclipse.platform.e37,2.4.1.r37v201109211906,"com.google.gdt.eclipse.platform.e37",1320122591262
started,bundle,com.google.gdt.eclipse.platform.shared,2.4.1.r37v201109211906,"com.google.gdt.eclipse.platform.shared",1320122591262
started,bundle,com.google.gdt.eclipse.suite,2.4.1.r37v201109211906,"com.google.gdt.eclipse.suite",1320122591262
started,bundle,com.google.gwt.eclipse.core,2.4.1.r37v201109211906,"com.google.gwt.eclipse.core",1320122591262
os,sysinfo,,,"win32",1320122591265
arch,sysinfo,,,"x86_64",1320122591265
ws,sysinfo,,,"win32",1320122591265
locale,sysinfo,,,"en_US",1320122591265
processors,sysinfo,,,"2",1320122591265
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1320122591265
