what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323287979949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288042122
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323288055884
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288056082
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288056127
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288088560
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288102940
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288183992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288203810
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288205431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323288225138
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1323288242034
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1323288242035
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288244740
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288244740
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288250466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288338104
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288353465
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288398258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288456659
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323288480701
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288553654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288588323
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1323288596817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288615951
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1323288622507
